"ENTREPRISES";"PROJETS";"THEMATIQUE";"PAGE";"VAGUE";"URL_FICH_ORIGINE";"REALISATION_DEBUT";"REALISATION_FIN";"MONTANT";"AIDE";"DEPT"
"Prove & Run";"ProvenStore";"SÉCURITÉ ET CYBERSÉCURITÉ";91;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";8e+05;NA;"75 06"
"Reuniwatt SAS";"Deep PV Forecasting – DPVF";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";19;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";787376;334352;"97 75"
"SEAir";"Foil’GEE";"TRANSPORT ET MOBILITÉ DURABLE";33;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";793500;353251;"56"
"SEAVIEWS";"CartHabS";"ÉCOSYSTÈMES TERRESTRES, AQUATIQUES ET MARINS";53;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";601600;270720;"13"
"SENTRYO";"KITEA";"SÉCURITÉ ET CYBERSÉCURITÉ";92;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";793000;NA;"69"
"SHIPPEO";"SASHA";"NUMÉRIQUE";72;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";3289370;NA;"75"
"Sidetrade";"EuroFirmo";"NUMÉRIQUE";73;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";3605867;NA;"92"
"SKILLUP";"MLFORM";"NUMÉRIQUE";74;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";778550;NA;"75"
"SOLEAN";"SHINE LEAN SOLAR";"FRENCH FAB";97;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";798166;NA;"73"
"Soleo Eco-Solutions";"Fourmanioc";"AGRICULTURE INNOVANTE";47;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";763317;336129;"91 94 97 34"
"SPECTRALYS innovation";"OPTI MILL";"ALIMENTATION INTELLIGENTE";103;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";996000;444000;NA
"SPYGEN SAS";"ALIVe";"ÉCOSYSTÈMES TERRESTRES, AQUATIQUES ET MARINS";54;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";723066;325379;"73"
"STEADYSUN";"MoNuTeR";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";20;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";722400;325080;"73"
"STIRAL";"COMHEX Cu-Al";"TRANSPORT ET MOBILITÉ DURABLE";34;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";798768;348300;"38"
"SurfactGreen";"T2BIO";"FRENCH FAB";98;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";2900000;NA;"35"
"TENEVIA";"CAM-WaterQuality";"ÉCOSYSTÈMES TERRESTRES, AQUATIQUES ET MARINS";55;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";640060;273402;"38"
"Therapixel SA";"MammoScreen";"NUMÉRIQUE";75;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";790000;NA;"06 75"
"TIAMAT";"POWERBAT";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";21;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";3401000;1239000;"80"
"tictactrip";"MARIT";"TRANSPORT ET MOBILITÉ DURABLE";35;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";619440;278748;"75"
"TRISKEM INTERNATIONAL";"C.L.I.P.S. 2020";"FRENCH FAB";99;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";1448283;NA;"35"
"TrustBK";"Margo Bank";"NUMÉRIQUE";76;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";NA;NA;"75"
"UPTIME";"PEMSys";"NUMÉRIQUE";77;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";859779;NA;"75 76"
"Vaxinano";"NANOVAXIN";"SANTÉ";86;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";750277;NA;"59"
"VEKIA";"suppl.AI";"NUMÉRIQUE";78;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";4247558;NA;"59"
"VOLTINOV";"BE-LIGHT";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";22;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";791960;328977;"67"
"Vulog";"MaasLab";"TRANSPORT ET MOBILITÉ DURABLE";36;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";2595398;1138568;"06"
"7HUGS LABS";"MARS";"NUMÉRIQUE";36;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";3919186;1763633;"92"
"Acklio";"Plug & Play LPWAN Connectivity";"NUMÉRIQUE";37;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";759299;341684;"33"
"ADIONICS";"HAL’EXTRA";"AGRICULTURE, INDUSTRIE ET SYLVICULTURE ÉCO-EFFICIENTES";13;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";787368;285264;"94"
"AlgoSource";"Allisimac";"ALIMENTATION INTELLIGENTE";75;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";787000;354000;"44"
"Alkemics";"B2B MARKETPLACE";"NUMÉRIQUE";38;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";2198664;769532;"75"
"ALKION BIO INNOVATIONS";"NeGenSweet";"ALIMENTATION INTELLIGENTE";76;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";1700000;719000;"78"
"ALPINOV X";"FHP";"AGRICULTURE, INDUSTRIE ET SYLVICULTURE ÉCO-EFFICIENTES";14;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2019";798546;359346;"38"
"AmpliSIM";"RefSIM";"EXPOSITIONS CHRONIQUES ET RISQUES SANITAIRES";33;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";628800;282960;"75"
"BBS SLAMA";"BEE";"PERFORMANCE ENVIRONNEMENTALE DES BÂTIMENTS";7;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";675058;303776;"63"
"BOOSTHEAT";"BOOSTHEAT.20";"PERFORMANCE ENVIRONNEMENTALE DES BÂTIMENTS";8;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";781291;330135;"69"
"CardioRenal";"IMPACTER";"SANTÉ";54;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";790000;355500;"67"
"CONNECTING FOOD";"Live Transparency";"ALIMENTATION INTELLIGENTE";77;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";8e+05;360000;"75"
"Cycl-add";"Poly’add";"ECONOMIE CIRCULAIRE";22;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";610555;274750;"01"
"DELTALYS";"CattaLys";"ECONOMIE CIRCULAIRE";23;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";758120;313011;"69"
"DIGINOVE";"TELECENSE";"ESPACE";63;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";660101;297045;"13"
"E-ODYN";"DUOS";"ESPACE";64;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";794189;357385;"29"
"ECO-ADAPT";"EFFI-MOTEUR";"AGRICULTURE, INDUSTRIE ET SYLVICULTURE ÉCO-EFFICIENTES";15;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";1450255;652601;"75"
"Ecodrop";"Technodrop";"ECONOMIE CIRCULAIRE";24;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";672604;302672;"92"
"ENHANCIA";"M2HD";"NUMÉRIQUE";39;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";720000;324000;"38"
"Exotrail";"PEPS";"ESPACE";65;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";3432802;1544760;"91"
"FairyTool";"PocketStudio";"NUMÉRIQUE";40;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";621626;279731;"93"
"GoJob";"INSERT";"SOCIÉTÉ INCLUSIVE ET SOLIDAIRE";70;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";2352526;1058636;"13"
"IEXEC";"ETH4ETR";"NUMÉRIQUE";41;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2021";1987488;894369;"69"
